Star	Teff (K)	eTeff	log g	e log g	[Fe/H]	[S/Fe]	[S/H]	Article
HD 2665	4990	66	2.5	0.2	-2	0.69	-1.31	Rebolo 2001
HD 2796	4867	58	1.8	0.2	-2.3	0.81	-1.49	Rebolo 2001
HD 19455	5810	150	4.46	0.2	-1.88	0.65	-1.23	Rebolo 2001
HD 140283	5550	100	3.74	0.2	-2.21	0.98	-1.23	Rebolo 2001
HD 157214	5265	100	4.36	0.2	-0.32	0.19	-0.13	Rebolo 2001
HD194598	5960	120	4.38	0.2	-1.06	0.29	-0.77	Rebolo 2001
HD 201889	5615	100	4.24	0.2	-0.94	0.57	-0.37	Rebolo 2001
BD -18 5 55	4668	63	1.5	0.3	-2.7	1.4	-1.3	Rebolo 2001
HD 24616	4943		3.04		-0.88	0.37	-0.51	Rebolo 2001, François 1987
HD 59984	5916		3.9		-0.52	-0.18	-0.7	Rebolo 2001, François 1987
HD 63077	5752		4.17		-0.53	-0.02	-0.55	Rebolo 2001, François 1987
HD 69897	6263		4.25		-0.12	-0.29	-0.41	Rebolo 2001, François 1987
HD 76932	5857		4.08		-0.79	0.15	-0.64	Rebolo 2001, François 1987
HD 88218	5677		3.87		-0.42	0.13	-0.29	Rebolo 2001, François 1987
HD 91324	6181		3.98		-0.23	-0.29	-0.52	Rebolo 2001, François 1987
HD 94028	5923		4.28		-1.31	0.19	-1.12	Rebolo 2001, François 1987
HD 102365	5603		4.4		-0.08	-0.33	-0.41	Rebolo 2001, François 1987
HD 106516	6153		4.3		-0.66	0.1	-0.56	Rebolo 2001, François 1987
HD 121384	5185		3.39		-0.34	-0.35	-0.79	Rebolo 2001, François 1987
HD 132475	5619		3.79		-1.37	0.24	-1.13	Rebolo 2001, François 1987
HD 136352	5637		4.31		-0.21	-0.26	-0.47	Rebolo 2001, François 1987
HD 148816	5831		4.12		-0.51	-0.04	-0.55	Rebolo 2001, François 1987
HD 157089	5770		4.04		-0.39	-0.11	-0.5	Rebolo 2001, François 1987
HD 188376	5369		3.62		-0.08	-0.22	-0.3	Rebolo 2001, François 1987
HD 193901	5668		4.5		-0.97	0.13	-0.7	Rebolo 2001, François 1987
HD 201891	5841		4.25		-0.87	-0.01	-0.88	Rebolo 2001, François 1987
HD 203608	6067		4.29		-0.57	-0.12	-0.69	Rebolo 2001, François 1987
HD 211998	5271		3.36		-1.25	-0.15	-1.4	Rebolo 2001, François 1987
HD 693	6173		4.11		-0.3	-0.06		Chen 2002
HD 1461	5660		4.33		0.47	-0.2		Chen 2002
HD 9826	6119		4.12		0.12	0.04		Chen 2002
HD 10453	6368		3.96		-0.46	0.17		Chen 2002
HD 16895	6228		4.27		0.01	0.01		Chen 2002
HD 17948	6455		4.2		-0.26	0.03		Chen 2002
HD 22879	5788		4.29		-0.91	0.23		Chen 2002
HD 28620	6114		4.11		-0.38	0.06		Chen 2002
HD 30652	6424		4.28		0.04	-0.02		Chen 2002
HD 33564	6276		4.16		0.05	0.05		Chen 2002
HD 39315	6202		3.83		-0.38	0.06		Chen 2002
HD 49933	6592		4.21		-0.42	0.1		Chen 2002
HD 58461	6562		4.11		-0.15	-0.05		Chen 2002
HD 77967	6329		4.15		-0.46	0.11		Chen 2002
HD 82328	6308		3.84		-0.13	-0.09		Chen 2002
HD 84737	5813		4.12		0.13	-0.1		Chen 2002
HD 94388	6379		3.96		0.07	0.05		Chen 2002
HD 150177	6061		3.93		-0.63	0.17		Chen 2002
HD 159307	6237		3.93		-0.65	0.24		Chen 2002
HD 162003	6498		4.02		0.02	-0.08		Chen 2002
HD 187013	6298		4.15		-0.02	-0.09		Chen 2002
HD 215648	6158		3.96		-0.24	0.05		Chen 2002
HD 216106	5923		3.74		-0.16	0.04		Chen 2002
HD 222368	6178		4.08		-0.13	0.06		Chen 2002
HD 19445	6032		4.4		-2.08	0.28		Korn 2005
HD 84937	6346		4		-2.16	0.22		Korn 2005
HD 140283	5806		3.68		-2.43	0.34		Korn 2005
BD -13 3442	6500		4.16		-2.61	0.89	-2.31	Nissen 2004
CD -30 18140	6272		4.13		-1.88	0.87	-1.63	Nissen 2004
CD -35 14849	6125		4.11		-2.41	0.87	-2.1	Nissen 2004
CD -42 14278	5812		4.25		-2.12	0.86	-1.82	Nissen 2004
HD 103723	6040		4.26		-0.82	1.02	-0.84	Nissen 2004
HD 105004	5919		4.36		-0.86	0.99	-0.85	Nissen 2004
HD 106038	5919		4.3		-1.42	0.70	-1	Nissen 2004
HD 108177	6034		4.25		-1.74	0.80	-1.39	Nissen 2004
HD 110621	5989		3.99		-1.66	0.81	-1.34	Nissen 2004
HD 121004	5595		4.31		-0.77	0.56	-0.43	Nissen 2004
HD 140283	5690		3.69		-2.42	0.87	-2.11	Nissen 2004
HD 146296	5671		4.17		-0.74	0.73	-0.54	Nissen 2004
HD 148816	5823		4.14		-0.73	0.67	-0.49	Nissen 2004
HD 160617	5931		3.77		-1.79	0.78	-1.4	Nissen 2004
HD 179626	5699		3.92		-1.14	0.75	-0.85	Nissen 2004
HD 181743	5863		4.32		-1.93	0.82	-1.59	Nissen 2004
HD 188031	6054		4.03		-1.79	0.82	-1.47	Nissen 2004
HD 193901	5672		4.38		-1.12	0.85	-0.95	Nissen 2004
HD 194598	5906		4.25		-1.17	0.85	-0.99	Nissen 2004
